Detect,Date,Time,Seconds,HDX,PITNumber,DetScan,EmplyScan,Dummy,Section
S,2021/1/13,9:19:00,00:00.2,HA,900_226000285711,0.5,0,YES,10
S,2021/1/13,9:19:54,00:00.0,HW,0000_495232233070,0.6,0,NO,20
S,2021/1/13,9:19:54,00:00.4,HA,900_226000285788,0.5,0,YES,20
S,2021/1/13,9:20:45,00:01.7,HA,900_226001110272,0.5,0,NO,30
S,2021/1/13,9:21:00,00:00.1,HA,900_226000493879,0.6,0,NO,30
S,2021/1/13,9:21:02,00:00.0,HA,900_226000493879,0.5,0,NO,30
S,2021/1/13,9:21:03,00:00.5,HA,900_226000493879,0.5,0,NO,30
S,2021/1/13,9:21:09,00:02.4,HA,900_226000493879,0.5,0,NO,30
S,2021/1/13,9:21:37,00:00.3,HA,900_226000285767,0.5,0,YES,30
S,2021/1/13,9:22:27,00:00.2,HA,900_226000285746,0.5,0,YES,40
S,2021/1/13,9:23:03,00:00.6,HA,900_226001110220,0.6,0,NO,50
S,2021/1/13,9:23:31,00:02.5,HA,900_226001047953,0.6,0,NO,50
S,2021/1/13,9:23:36,00:00.0,HW,0000_495232234721,0.6,0,NO,50
S,2021/1/13,9:23:35,00:02.3,HA,900_226001111048,0.6,0,NO,50
S,2021/1/13,9:23:40,00:01.7,HA,900_226001111048,0.6,0,NO,50
S,2021/1/13,9:23:43,00:00.0,HW,0000_495232234721,0.6,0,NO,50
S,2021/1/13,9:23:54,00:00.2,HA,900_226000285779,0.5,0,YES,50
S,2021/1/13,9:24:00,00:00.1,HW,0000_495232234719,0.5,0,NO,60
S,2021/1/13,9:24:00,00:00.2,HA,450_113000555137,0.5,0,NO,60
S,2021/1/13,9:24:00,00:01.0,HA,900_226001110274,0.5,0,NO,60
S,2021/1/13,9:24:02,00:00.0,HW,0000_495232234719,0.5,0,NO,60
S,2021/1/13,9:24:02,00:00.0,HR,1024_123808058679,0.5,0,NO,60
S,2021/1/13,9:24:02,00:00.6,HA,900_226001110280,0.5,0,NO,60
S,2021/1/13,9:24:07,00:00.0,HA,900_226001110260,0.5,0,NO,60
S,2021/1/13,9:24:07,00:01.8,HA,900_226001110274,0.5,0,NO,60
S,2021/1/13,9:24:39,00:00.3,HA,900_226000285776,0.5,0,YES,60
S,2021/1/13,9:24:50,00:00.0,HA,900_226000285922,0.5,0,NO,70
S,2021/1/13,9:25:07,00:00.2,HA,900_226000285789,0.5,0,YES,70
S,2021/1/13,9:25:16,00:00.1,HA,900_226000493111,0.5,0,NO,80
S,2021/1/13,9:26:34,00:00.2,HA,900_226000285747,0.5,0,YES,80
S,2021/1/13,9:27:05,00:00.8,HA,900_226000493021,0.5,0,NO,90
S,2021/1/13,9:27:16,00:00.2,HA,900_226001110215,0.5,0,NO,90
S,2021/1/13,9:27:33,00:00.1,HA,900_226001110286,0.6,0,NO,90
S,2021/1/13,9:27:43,00:00.2,HA,900_226000285724,0.6,0,YES,90
S,2021/1/13,9:28:14,00:00.1,HA,900_226001110242,0.5,0,NO,100
S,2021/1/13,9:28:35,00:00.2,HA,900_226000285752,0.5,0,YES,100
S,2021/1/13,9:29:04,00:00.4,HA,900_226000285951,0.6,0,NO,110
S,2021/1/13,9:29:11,00:00.0,HA,900_226001108740,0.5,0,NO,110
S,2021/1/13,9:29:13,00:00.1,HA,900_226001108740,0.5,0,NO,110
S,2021/1/13,9:29:19,00:00.6,HA,900_226000285931,0.5,0,NO,110
S,2021/1/13,9:29:27,00:00.2,HA,900_226000285711,0.5,0,YES,110
S,2021/1/13,9:29:46,00:00.6,HA,900_226001110241,0.5,0,NO,120
S,2021/1/13,9:30:26,00:00.2,HA,900_226000285788,0.9,0,YES,120
S,2021/1/13,9:30:51,00:00.3,HA,900_226001110265,0.5,0,NO,130
S,2021/1/13,9:30:58,00:00.4,HA,900_226001670075,0.5,0,NO,130
S,2021/1/13,9:31:03,00:00.0,HA,900_226001110269,0.5,0,NO,130
S,2021/1/13,9:31:10,00:00.8,HA,900_226001110269,0.6,0,NO,130
S,2021/1/13,9:31:14,00:00.0,HA,900_226000493030,0.6,0,NO,130
S,2021/1/13,9:31:13,00:03.0,HA,900_226001110269,0.6,0,NO,130
S,2021/1/13,9:31:20,00:00.0,HA,900_226000285767,0.6,0,YES,130
S,2021/1/13,9:31:30,00:00.2,HA,900_226001110206,0.5,0,NO,140
S,2021/1/13,9:31:34,00:02.8,HA,900_226001110206,0.5,0,NO,140
S,2021/1/13,9:32:02,00:00.0,HA,900_226001110214,0.5,0,NO,140
S,2021/1/13,9:32:13,00:00.1,HA,900_226000285746,0.6,0,YES,140
