Detect,Date,Time,Seconds,HDX,PITNumber,DetScan,EmplyScan,Dummy,Section
S,2020/12/15,9:13:44,00:00.3,HA,900_226000285711,0.5,0,YES,10
S,2020/12/15,9:14:25,00:00.1,HA,900_226000285788,0.5,0,YES,20
S,2020/12/15,9:15:59,00:00.5,HA,900_226000285767,0.6,0,YES,30
S,2020/12/15,9:16:45,00:00.3,HA,900_226000285746,0.5,0,YES,40
S,2020/12/15,9:17:39,00:00.6,HA,900_226001047953,0.6,0,NO,40
S,2020/12/15,9:17:46,00:00.0,HW,1024_123808058679,0.6,0,NO,40
S,2020/12/15,9:17:49,00:00.0,HW,0000_495232234719,0.5,0,NO,40
S,2020/12/15,9:17:49,00:01.5,HW,0000_247616117359,0.6,0,NO,40
S,2020/12/15,9:17:56,00:00.5,HA,900_226000285779,0.6,0,YES,50
S,2020/12/15,9:19:08,00:00.5,HA,900_226000285776,0.5,0,YES,60
S,2020/12/15,9:19:35,00:00.2,HA,900_226001670428,0.5,0,NO,70
S,2020/12/15,9:19:39,00:00.0,HA,900_226000285789,0.5,0,YES,70
S,2020/12/15,9:19:42,00:00.4,HA,900_226000285789,0.5,0,YES,70
S,2020/12/15,9:21:51,00:00.8,HW,0000_247616116535,0.6,0,NO,80
S,2020/12/15,9:21:59,00:02.2,HW,0000_247616116535,0.6,0,NO,80
S,2020/12/15,9:22:06,00:00.6,HW,0000_247616116535,0.6,0,NO,80
S,2020/12/15,9:22:12,00:00.3,HW,0000_247616116535,0.5,0,NO,80
S,2020/12/15,9:22:15,00:00.7,HW,0000_247616116535,0.6,0,NO,80
S,2020/12/15,9:22:43,00:00.0,HW,1024_123808058679,0.5,0,NO,80
S,2020/12/15,9:22:43,00:00.7,HA,900_226001110220,0.6,0,NO,80
S,2020/12/15,9:23:09,00:00.5,HA,900_226001110278,0.6,0,NO,80
S,2020/12/15,9:23:11,00:00.0,HW,1024_123808058679,0.5,0,NO,80
S,2020/12/15,9:23:12,00:00.2,HA,900_226001110278,0.5,0,NO,80
S,2020/12/15,9:23:45,00:00.1,HW,0000_247616116742,0.7,0,NO,80
S,2020/12/15,9:23:46,00:00.0,HW,1024_123808058371,0.6,0,NO,80
S,2020/12/15,9:23:56,00:00.5,HA,900_226000285747,0.5,0,YES,80
S,2020/12/15,9:24:46,00:00.0,HW,1024_123808058679,0.7,0,NO,90
S,2020/12/15,9:24:46,00:00.6,HA,900_226001110286,0.6,0,NO,90
S,2020/12/15,9:24:51,00:00.0,HW,0000_495232233070,0.6,0,NO,90
S,2020/12/15,9:24:51,00:00.4,HA,900_226000285724,0.6,0,YES,90
S,2020/12/15,9:25:45,00:00.5,HA,900_226000285752,0.6,0,YES,100
S,2020/12/15,9:25:48,00:00.1,HA,900_226000493045,0.5,0,NO,110
S,2020/12/15,9:25:55,00:00.0,HA,900_226001108740,0.5,0,NO,110
S,2020/12/15,9:26:09,00:00.7,HW,0000_247616116535,0.5,0,NO,110
S,2020/12/15,9:26:50,00:00.1,HA,900_226001110241,0.5,0,NO,110
S,2020/12/15,9:27:00,00:00.5,HA,900_226000285711,0.5,0,YES,110
S,2020/12/15,9:27:06,00:00.6,HA,900_226000285951,0.6,0,NO,120
S,2020/12/15,9:27:11,00:01.4,HA,900_226001110228,0.5,0,NO,120
S,2020/12/15,9:27:59,00:00.4,HA,900_226000285788,0.5,0,YES,120
S,2020/12/15,9:27:59,00:00.0,HR,1024_123808058267,0.5,0,NO,130
S,2020/12/15,9:28:04,00:00.4,HA,900_226001110209,0.5,0,NO,130
S,2020/12/15,9:28:19,00:00.0,HA,900_226001110269,0.5,0,NO,130
S,2020/12/15,9:28:22,00:01.0,HA,900_226001110269,0.6,0,NO,130
S,2020/12/15,9:28:47,00:00.0,HA,900_226000493166,0.5,0,NO,130
S,2020/12/15,9:28:53,00:00.4,HA,900_226000285767,0.6,0,YES,130
S,2020/12/15,9:28:56,00:01.2,HA,900_226000493044,0.5,0,NO,140
S,2020/12/15,9:28:57,00:00.0,HW,0000_495232234719,0.5,0,NO,140
S,2020/12/15,9:28:57,00:02.8,HA,900_226001110261,0.6,0,NO,140
S,2020/12/15,9:29:02,00:02.3,HA,900_226001110265,0.5,0,NO,140
S,2020/12/15,9:29:04,00:01.6,HA,900_226000493081,0.7,0,NO,140
S,2020/12/15,9:29:06,00:00.7,HA,900_226001110265,0.6,0,NO,140
S,2020/12/15,9:29:07,00:00.0,HA,900_226001110200,0.6,0,NO,140
S,2020/12/15,9:29:08,00:01.3,HA,900_226000493081,0.6,0,NO,140
S,2020/12/15,9:29:10,00:01.2,HA,900_226000493044,0.6,0,NO,140
S,2020/12/15,9:29:14,00:02.0,HA,900_226001110265,0.6,0,NO,140
S,2020/12/15,9:29:36,00:00.8,HA,900_226001110261,0.5,0,NO,140
S,2020/12/15,9:29:48,00:00.0,HA,900_226000493030,0.5,0,NO,140
S,2020/12/15,9:30:49,00:00.4,HA,900_226000285746,0.6,0,YES,140
S,2020/12/15,9:30:53,00:00.2,HA,900_226001047098,0.6,0,NO,150
S,2020/12/15,9:30:54,00:00.0,HA,900_226001110251,0.6,0,NO,150
S,2020/12/15,9:30:58,00:00.0,HA,900_226001110251,0.6,0,NO,150
S,2020/12/15,9:31:00,00:00.7,HA,900_226001110206,0.6,0,NO,150
S,2020/12/15,9:31:22,00:00.2,HA,900_226000493090,0.5,0,NO,150
S,2020/12/15,9:31:24,00:00.2,HA,900_226001110245,0.5,0,NO,150
S,2020/12/15,9:31:25,00:00.0,HA,900_226001110235,0.5,0,NO,150
S,2020/12/15,9:31:32,00:00.4,HA,900_226000285779,0.5,0,YES,150
S,2020/12/15,9:31:36,00:00.1,HA,900_226000493011,0.5,0,NO,160
S,2020/12/15,9:32:12,00:00.5,HA,900_226001110275,0.5,0,NO,160
S,2020/12/15,9:32:16,00:00.4,HA,900_226000285776,0.5,0,YES,160
S,2020/12/15,9:32:22,00:00.9,HA,900_226000493852,0.5,0,NO,170
S,2020/12/15,9:32:31,00:04.4,HA,900_226000493852,0.5,0,NO,170
S,2020/12/15,9:32:45,00:00.0,HA,900_226001110277,0.5,0,NO,170
S,2020/12/15,9:32:46,00:01.0,HA,900_226001110294,0.5,0,NO,170
S,2020/12/15,9:33:02,00:00.4,HA,900_226001110218,0.5,0,NO,170
S,2020/12/15,9:33:07,00:00.0,HA,900_226001110218,0.6,0,NO,170
S,2020/12/15,9:33:15,00:01.6,HA,900_226001110252,0.6,0,NO,170
S,2020/12/15,9:33:18,00:02.3,HA,900_226001047096,0.6,0,NO,170
S,2020/12/15,9:33:23,00:00.0,HA,900_226001047096,0.6,0,NO,170
S,2020/12/15,9:33:40,00:00.4,HA,900_226000285789,0.5,0,YES,170
S,2020/12/15,9:34:38,00:00.3,HA,900_226000285747,0.5,0,YES,180
S,2020/12/15,9:35:21,00:00.4,HA,900_226000285724,0.5,0,YES,190
S,2020/12/15,9:35:55,00:00.4,HA,900_226000285752,0.5,0,YES,200
S,2020/12/15,9:36:24,00:00.3,HA,900_226000285711,0.5,0,YES,210
S,2020/12/15,9:37:10,00:00.5,HA,900_226000285788,0.6,0,YES,220
S,2020/12/15,9:37:43,00:00.7,HA,900_226001110264,0.5,0,NO,230
S,2020/12/15,9:38:00,00:00.2,HA,900_226000493115,0.5,0,NO,230
S,2020/12/15,9:38:02,00:00.1,HA,900_226001110222,0.5,0,NO,230
S,2020/12/15,9:38:12,00:00.2,HA,900_226000285936,0.5,0,NO,230
S,2020/12/15,9:38:13,00:00.4,HA,900_226000493115,0.5,0,NO,230
S,2020/12/15,9:38:17,00:01.5,HA,900_226000493189,0.5,0,NO,230
S,2020/12/15,9:38:21,00:00.0,HA,900_226001110292,0.5,0,NO,230
S,2020/12/15,9:38:50,00:00.5,HA,900_226000285767,0.5,0,YES,230
S,2020/12/15,9:39:10,00:00.3,HA,900_226001110216,0.5,0,NO,240
S,2020/12/15,9:39:40,00:00.4,HA,900_226000285746,0.5,0,YES,240
S,2020/12/15,9:39:49,00:00.1,HA,900_226001047948,0.6,0,NO,250
S,2020/12/15,9:39:53,00:00.0,HW,0000_495232234595,0.6,0,NO,250
S,2020/12/15,9:39:53,00:00.2,HA,900_226001047948,0.6,0,NO,250
S,2020/12/15,9:40:30,00:02.7,HA,900_226000493109,0.6,0,NO,250
S,2020/12/15,9:40:33,00:00.4,HA,900_226001109564,0.5,0,NO,250
S,2020/12/15,9:40:36,00:01.9,HW,0000_495232234718,0.6,0,NO,250
S,2020/12/15,9:40:35,00:03.6,HA,900_226001109564,0.6,0,NO,250
S,2020/12/15,9:40:41,00:00.0,HA,900_226001109564,0.6,0,NO,250
S,2020/12/15,9:40:48,00:00.4,HA,900_226000285779,0.6,0,YES,250
S,2020/12/15,9:40:52,00:03.3,HA,900_226001110284,0.6,0,NO,260
S,2020/12/15,9:40:59,00:00.5,HA,900_226001110284,0.5,0,NO,260
S,2020/12/15,9:41:00,00:00.3,HA,900_226001111027,0.6,0,NO,260
S,2020/12/15,9:41:04,00:01.4,HA,900_226001110284,0.6,0,NO,260
S,2020/12/15,9:41:27,00:00.6,HA,900_226001110297,0.5,0,NO,260
S,2020/12/15,9:41:30,00:00.5,HA,900_226001047909,0.5,0,NO,260
S,2020/12/15,9:41:31,00:00.0,HA,900_226001110297,0.5,0,NO,260
S,2020/12/15,9:41:42,00:00.3,HA,900_226000493165,0.5,0,NO,260
S,2020/12/15,9:41:49,00:00.5,HA,900_226000285776,0.6,0,YES,260
S,2020/12/15,9:41:56,00:00.1,HA,900_226001047910,0.6,0,NO,270
S,2020/12/15,9:41:56,00:00.0,HW,0000_495232234595,0.7,0,NO,270
S,2020/12/15,9:42:10,00:00.5,HA,900_226001109060,0.5,0,NO,270
S,2020/12/15,9:42:15,00:00.6,HA,900_226001110223,0.6,0,NO,270
S,2020/12/15,9:42:57,00:01.5,HA,900_226001110249,0.6,0,NO,270
S,2020/12/15,9:43:00,00:00.0,HA,900_226001110293,0.7,0,NO,270
S,2020/12/15,9:43:05,00:02.9,HA,900_226001110249,0.6,0,NO,270
S,2020/12/15,9:43:14,00:00.0,HA,900_226001110288,0.6,0,NO,270
S,2020/12/15,9:43:14,00:00.0,HA,900_226001110293,0.6,0,NO,270
S,2020/12/15,9:43:33,00:00.7,HA,900_226000285789,0.6,0,YES,270
S,2020/12/15,9:44:04,00:00.8,HA,900_226000498827,0.7,0,NO,280
S,2020/12/15,9:44:07,00:00.3,HA,900_226000498827,0.6,0,NO,280
S,2020/12/15,9:44:10,00:00.6,HA,900_226000285747,0.5,0,YES,280
S,2020/12/15,9:44:41,00:00.4,HA,900_226000285724,0.5,0,YES,290
S,2020/12/15,9:45:15,00:00.4,HA,900_226000285752,0.5,0,YES,300
S,2020/12/15,9:46:17,00:00.5,HA,900_226000285711,0.5,0,YES,310
S,2020/12/15,9:46:48,00:00.5,HA,900_226001047944,0.5,0,NO,320
S,2020/12/15,9:46:55,00:00.0,HA,900_226001110212,0.6,0,NO,320
