Detect,Date,Time,Seconds,HDX,PITNumber,DetScan,EmplyScan,Dummy,Section
S,2020/10/15,9:09:12,00:00.4,HA,900_226000285711,0.6,0,YES,10
S,2020/10/15,9:09:43,00:00.3,HA,900_226000285788,0.7,0,YES,20
S,2020/10/15,9:10:01,00:00.6,HA,900_226001110860,0.7,0,NO,30
S,2020/10/15,9:10:07,00:00.0,HW,0000_495232234720,0.8,0,NO,30
S,2020/10/15,9:10:06,00:01.8,HA,900_226001110860,1.1,0,NO,30
S,2020/10/15,9:10:19,00:01.2,HA,900_226000493092,0.9,0,NO,30
S,2020/10/15,9:10:51,00:00.3,HA,900_226000285767,0.6,0,YES,30
S,2020/10/15,9:11:05,00:00.0,HA,900_226000493879,0.6,0,NO,40
S,2020/10/15,9:11:07,00:00.6,HA,900_226000493879,0.6,0,NO,40
S,2020/10/15,9:11:12,00:03.5,HA,900_226000493879,0.6,0,NO,40
S,2020/10/15,9:11:56,00:00.3,HA,900_226000285746,0.6,0,YES,40
S,2020/10/15,9:12:14,00:01.2,HA,900_226001110260,0.7,0,NO,50
S,2020/10/15,9:12:24,00:00.0,HA,900_226001110260,0.6,0,NO,50
S,2020/10/15,9:12:44,00:00.9,HA,900_226001047953,0.6,0,NO,50
S,2020/10/15,9:12:45,00:00.2,HA,900_226001110224,0.7,0,NO,50
S,2020/10/15,9:12:46,00:00.0,HA,900_226001111048,0.7,0,NO,50
S,2020/10/15,9:13:07,00:00.4,HA,900_226000285779,0.7,0,YES,50
S,2020/10/15,9:13:13,00:01.7,HA,900_226001110230,0.7,0,NO,60
S,2020/10/15,9:13:15,00:00.7,HA,900_226001110274,0.7,0,NO,60
S,2020/10/15,9:13:31,00:00.8,HA,900_226001110217,0.6,0,NO,60
S,2020/10/15,9:13:34,00:00.3,HA,900_226001110217,0.7,0,NO,60
S,2020/10/15,9:13:40,00:00.0,HA,900_226001110217,0.7,0,NO,60
S,2020/10/15,9:14:00,00:00.4,HA,900_226000285776,0.6,0,YES,60
S,2020/10/15,9:14:11,00:00.5,HA,900_226000285922,0.7,0,NO,70
S,2020/10/15,9:14:28,00:00.4,HA,900_226000285789,0.6,0,YES,70
S,2020/10/15,9:14:37,00:00.2,HA,900_226000493111,0.6,0,NO,80
S,2020/10/15,9:15:25,00:00.4,HA,900_226001110238,0.6,0,NO,80
S,2020/10/15,9:15:52,00:00.1,HA,900_226000493068,0.7,0,NO,80
S,2020/10/15,9:15:59,00:00.4,HA,900_226000285747,0.7,0,YES,80
S,2020/10/15,9:17:00,00:01.9,HA,900_226001110215,0.6,0,NO,90
S,2020/10/15,9:17:04,00:00.2,HA,900_226001110215,0.7,0,NO,90
S,2020/10/15,9:17:02,00:01.9,HA,900_226001110286,0.7,0,NO,90
S,2020/10/15,9:17:09,00:02.9,HA,900_226001110215,0.8,0,NO,90
S,2020/10/15,9:17:17,00:00.5,HA,900_226001110215,0.8,0,NO,90
S,2020/10/15,9:17:24,00:00.5,HA,900_226000285724,0.7,0,YES,90
S,2020/10/15,9:17:50,00:01.4,HA,900_226001108643,0.6,0,NO,100
S,2020/10/15,9:18:03,00:00.2,HA,900_226001110247,0.6,0,NO,100
S,2020/10/15,9:18:07,00:00.5,HA,900_226000285752,0.7,0,YES,100
S,2020/10/15,9:18:15,00:00.8,HA,900_226001110228,0.6,0,NO,110
S,2020/10/15,9:18:17,00:00.3,HA,900_226001110243,0.7,0,NO,110
S,2020/10/15,9:18:50,00:00.4,HA,900_226000285711,0.6,0,YES,110
S,2020/10/15,9:19:16,00:00.1,HA,900_226001110227,0.6,0,NO,120
S,2020/10/15,9:20:00,00:00.4,HA,900_226000285788,0.7,0,YES,120
S,2020/10/15,9:20:02,00:00.3,HA,900_226000285951,0.7,0,NO,130
S,2020/10/15,9:20:39,00:00.1,HA,900_226001110261,0.8,0,NO,130
S,2020/10/15,9:20:55,00:04.2,HA,900_226001110265,0.7,0,NO,130
S,2020/10/15,9:21:03,00:00.2,HA,900_226001110265,0.7,0,NO,130
S,2020/10/15,9:21:10,00:00.3,HA,900_226000285767,0.7,0,YES,130
S,2020/10/15,9:21:24,00:00.4,HA,900_226001047085,0.7,0,NO,140
S,2020/10/15,9:21:31,00:00.0,HA,900_226001047098,0.7,0,NO,140
S,2020/10/15,9:21:34,00:00.6,HA,900_226001110200,0.7,0,NO,140
S,2020/10/15,9:21:38,00:00.5,HA,900_226000493081,0.8,0,NO,140
S,2020/10/15,9:21:48,00:00.1,HA,900_226000493044,0.7,0,NO,140
