Date,Section,ID,Spp,recap,recapinsurvey,FL,BM,maturation,tagloss,injury,handlingmortality,notes,PITNumber,PITNumber2
10/2/2020,90,NA,sculpin,NO,NO,73.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,80.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,114.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,115.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,88.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,87.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,82.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,100,22,masusalmon,NO,NO,98.0 ,10.3,NO,NO,NO,NO,NA,900_226001110243,NA
10/2/2020,100,23,masusalmon,NO,NO,99.0 ,10.5,NO,NO,NO,NO,NA,900_226001110215,NA
10/2/2020,100,24,masusalmon,NO,NO,79.0 ,5.6,NO,NO,NO,NO,NA,900_226001110286,NA
10/2/2020,100,NA,sculpin,NO,NO,42.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,110,25,masusalmon,NO,NO,102.0 ,11.2,NO,NO,NO,NO,NA,900_226001110228,NA
10/2/2020,110,26,masusalmon,NO,NO,95.0 ,8.4,NO,NO,NO,NO,NA,900_226001110265,NA
10/2/2020,110,27,masusalmon,NO,NO,88.0 ,8.5,NO,NO,NO,NO,NA,900_226001110241,NA
10/2/2020,110,NA,sculpin,NO,NO,30.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,110,NA,sculpin,NO,NO,93.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,110,NA,sculpin,NO,NO,71.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,110,NA,sculpin,NO,NO,79.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,110,NA,sculpin,NO,NO,63.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,110,NA,sculpin,NO,NO,94.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,110,NA,sculpin,NO,NO,88.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,110,NA,sculpin,NO,NO,80.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,120,28,masusalmon,YES,NO,155.0 ,51.1,sperm,NO,NO,NO,NA,900_226001573833,NA
10/2/2020,120,29,masusalmon,NO,NO,88.0 ,7.3,NO,NO,NO,NO,NA,900_226001110267,NA
10/2/2020,120,30,masusalmon,NO,NO,102.0 ,11.6,NO,NO,NO,NO,NA,900_226001110208,NA
