Detect,Date,Time,Seconds,HDX,PITNumber,DetScan,EmplyScan,Dummy,Section
S,2020/12/12,9:15:42,00:01.9,HA,450_113000142876,0.9,0,NO,10
S,2020/12/12,9:15:42,00:03.4,HW,0000_247616116535,0.9,0,NO,10
S,2020/12/12,9:15:46,00:00.0,HA,450_113000142876,0.9,0,NO,10
S,2020/12/12,9:17:52,00:00.0,HW,0000_247616116535,0.9,0,NO,10
S,2020/12/12,9:18:38,00:00.5,HA,900_226000285711,0.8,0,YES,10
S,2020/12/12,9:19:18,00:01.6,HA,900_226001670345,0.6,0,NO,20
S,2020/12/12,9:19:21,00:01.0,HA,900_226001670345,0.5,0,NO,20
S,2020/12/12,9:19:25,00:04.2,HA,900_226001670345,0.7,0,NO,20
S,2020/12/12,9:19:32,00:02.7,HA,900_226001670345,0.7,0,NO,20
S,2020/12/12,9:19:38,00:03.3,HA,900_226001670345,0.7,0,NO,20
S,2020/12/12,9:19:43,00:00.3,HW,0000_247616117919,0.6,0,NO,20
S,2020/12/12,9:19:47,00:00.4,HA,900_226001670345,0.7,0,NO,20
S,2020/12/12,9:19:50,00:00.7,HA,900_226001670345,0.7,0,NO,20
S,2020/12/12,9:19:51,00:00.6,HA,900_226000285788,0.7,0,YES,20
S,2020/12/12,9:19:52,00:00.0,HA,900_226001670345,0.7,0,NO,30
S,2020/12/12,9:19:56,00:00.3,HA,900_226000285788,0.7,0,YES,30
S,2020/12/12,9:20:00,00:00.6,HA,900_226001670345,0.6,0,NO,40
S,2020/12/12,9:20:22,00:00.1,HA,900_226001670345,0.6,0,NO,40
S,2020/12/12,9:20:45,00:00.0,HR,1024_123808058679,0.7,0,NO,40
S,2020/12/12,9:20:45,00:00.1,HA,900_226001110272,0.7,0,NO,40
S,2020/12/12,9:20:48,00:00.0,HR,1024_123808058679,0.8,0,NO,40
S,2020/12/12,9:20:48,00:01.4,HA,900_226001110272,0.8,0,NO,40
S,2020/12/12,9:21:32,00:00.2,HW,0000_247616116535,0.6,0,NO,40
S,2020/12/12,9:22:28,00:00.4,HA,900_226000285746,0.7,0,YES,40
S,2020/12/12,9:22:54,00:00.0,HW,1024_123808058679,0.7,0,NO,50
S,2020/12/12,9:22:54,00:00.4,HA,900_226001110224,0.7,0,NO,50
S,2020/12/12,9:23:05,00:00.0,HA,900_226001110217,0.8,0,NO,50
