date,section,species,fork_length,body_mass,maturation,tagloss,injury,handlingmortality,notes,pit_number,pit_number2,smolting,removed
10/2/2020,170,masusalmon,129,28.2,sperm,NO,NO,NO,NA,900_226001110279,NA,NA,NA
10/2/2020,170,masusalmon,149,41.5,sperm,NO,NO,NO,NA,900_226001110299,NA,NA,NA
10/2/2020,170,masusalmon,152,44.1,sperm,NO,NO,NO,NA,900_226001047088,NA,NA,NA
10/2/2020,190,masusalmon,130,28.1,sperm,NO,NO,NO,NA,900_226001047398,NA,NA,NA
10/2/2020,190,masusalmon,117,22.4,sperm,NO,NO,NO,NA,900_226001111087,NA,NA,NA
10/2/2020,190,masusalmon,95,9.6,NO,NO,NO,NO,NA,900_226001110204,NA,NA,NA
10/2/2020,190,masusalmon,93,8.7,NO,NO,NO,NO,NA,900_226001110256,NA,NA,NA
10/2/2020,190,masusalmon,122,20.6,NO,NO,NO,NO,NA,900_226001110986,NA,NA,NA
10/2/2020,200,masusalmon,107,14.7,NO,NO,NO,NO,NA,900_226001110289,NA,NA,NA
10/2/2020,220,masusalmon,92,8.8,NO,NO,NO,NO,NA,900_226001110252,NA,NA,NA
10/2/2020,230,whitespottedchar,164,39.2,NO,NO,NO,NO,NA,900_226001110899,NA,NA,NA
10/2/2020,230,masusalmon,121,20.2,NO,NO,NO,NO,NA,900_226001047907,NA,NA,NA
10/2/2020,230,masusalmon,91,9.2,NO,NO,NO,NO,NA,900_226001110222,NA,NA,NA
10/2/2020,230,masusalmon,120,23,sperm,NO,NO,NO,NA,900_226001047938,NA,NA,NA
10/2/2020,230,rainbowtrout,141,31.5,NO,YES,NO,NO,NA,900_226001110254,NA,NA,NA
10/2/2020,230,masusalmon,87,7.5,NO,NO,NO,NO,NA,900_226001110219,NA,NA,NA
10/2/2020,230,masusalmon,75,4.7,NO,NO,NO,NO,NA,900_226001110266,NA,NA,NA
10/2/2020,230,masusalmon,72,3.9,NO,NO,NO,NO,NA,900_226001110253,NA,NA,NA
10/2/2020,250,masusalmon,159,50.3,sperm,NO,NO,NO,NA,900_226001047950,NA,NA,NA
10/2/2020,250,rainbowtrout,122,20.5,NO,NO,NO,NO,NA,900_226001047948,NA,NA,NA
10/2/2020,250,masusalmon,90,8.4,NO,NO,NO,NO,NA,900_226001110250,NA,NA,NA
10/2/2020,250,masusalmon,101,11.3,NO,NO,NO,NO,NA,900_226001110284,NA,NA,NA
10/2/2020,250,masusalmon,94,8.4,NO,NO,NO,NO,NA,900_226001110273,NA,NA,NA
10/2/2020,250,masusalmon,89,7.5,NO,NO,NO,NO,NA,900_226001110234,NA,NA,NA
10/2/2020,260,masusalmon,178,63.6,sperm,NO,NO,NO,NA,900_226000493109,NA,NA,NA
10/2/2020,260,masusalmon,140,34.4,sperm,NO,NO,NO,NA,900_226001111027,NA,NA,NA
10/2/2020,260,masusalmon,91,8.3,NO,NO,NO,NO,NA,900_226001110287,NA,NA,NA
10/2/2020,260,masusalmon,77,5.2,NO,NO,NO,NO,NA,900_226001110276,NA,NA,NA
10/2/2020,260,masusalmon,82,6.2,NO,NO,NO,NO,NA,900_226001110297,NA,NA,NA
10/2/2020,260,masusalmon,99,11.2,NO,NO,NO,NO,NA,900_226001110264,NA,NA,NA
10/2/2020,270,masusalmon,125,24.3,sperm,NO,NO,NO,NA,900_226001111071,NA,NA,NA
10/2/2020,270,rainbowtrout,110,16.4,NO,NO,NO,NO,NA,900_226001047909,NA,NA,NA
10/2/2020,270,masusalmon,109,14.1,NO,NO,NO,NO,NA,900_226001110236,NA,NA,NA
10/2/2020,270,masusalmon,105,13.7,NO,NO,NO,NO,NA,900_226001110293,NA,NA,NA
10/2/2020,270,masusalmon,95,9.9,NO,NO,NO,NO,NA,900_226001110290,NA,NA,NA
10/2/2020,270,masusalmon,103,13.7,NO,NO,NO,NO,NA,900_226001110262,NA,NA,NA
10/2/2020,270,masusalmon,107,14.4,sperm,NO,NO,NO,NA,900_226001110282,NA,NA,NA
10/2/2020,280,masusalmon,105,12.8,NO,NO,NO,NO,NA,900_226001110288,NA,NA,NA
10/2/2020,280,masusalmon,126,26.1,sperm,NO,NO,NO,NA,900_226001110203,NA,NA,NA
10/2/2020,280,masusalmon,150,42.5,sperm,NO,NO,NO,NA,900_226001110296,NA,NA,NA
10/2/2020,300,masusalmon,107,13.3,NO,NO,NO,NO,NA,900_226001110223,NA,NA,NA
10/2/2020,300,masusalmon,117,20.5,sperm,NO,NO,NO,NA,900_226001110258,NA,NA,NA
10/2/2020,300,masusalmon,87,7.1,NO,NO,NO,NO,NA,900_226001110201,NA,NA,NA
10/2/2020,310,masusalmon,113,16.9,NO,NO,NO,NO,NA,900_226001110212,NA,NA,NA
10/2/2020,310,masusalmon,83,6.9,NO,NO,NO,NO,NA,900_226001110207,NA,NA,NA
10/2/2020,310,rainbowtrout,112,16.5,NO,NO,NO,NO,NA,900_226001111050,NA,NA,NA
10/2/2020,320,masusalmon,134,34,sperm,NO,NO,NO,NA,900_226001047944,NA,NA,NA
10/2/2020,320,masusalmon,94,9.8,NO,NO,NO,NO,NA,900_226001110240,NA,NA,NA
10/2/2020,320,masusalmon,118,18.2,NO,NO,NO,NO,NA,900_226001047923,NA,NA,NA
10/2/2020,320,masusalmon,72,3.8,NO,NO,NO,NO,NA,900_226001110255,NA,NA,NA
10/2/2020,330,masusalmon,91,8.1,NO,NO,NO,NO,NA,900_226001110216,NA,NA,NA
10/2/2020,330,masusalmon,134,26.8,NO,NO,NO,NO,NA,900_226001047797,NA,NA,NA
10/2/2020,330,masusalmon,107,13.3,NO,NO,NO,NO,NA,900_226001110281,NA,NA,NA
10/2/2020,330,masusalmon,74,4.4,NO,NO,NO,NO,NA,900_226001110249,NA,NA,NA
10/2/2020,330,masusalmon,76,4.8,NO,NO,NO,NO,NA,900_226001110233,NA,NA,NA
10/2/2020,330,masusalmon,74,4.5,NO,NO,NO,NO,NA,900_226001110213,NA,NA,NA
10/2/2020,330,masusalmon,105,12.6,NO,NO,NO,NO,NA,900_226001110292,NA,NA,NA
10/2/2020,330,masusalmon,81,5.9,NO,NO,NO,NO,NA,900_226001110210,NA,NA,NA
10/2/2020,330,rainbowtrout,230,136.2,NO,NO,NO,NO,NA,900_226001047394,NA,NA,NA
10/2/2020,340,masusalmon,122,22.5,sperm,NO,NO,NO,NA,900_226001110291,NA,NA,NA
10/2/2020,340,masusalmon,123,21.5,NO,NO,NO,NO,NA,900_226001573753,NA,NA,NA
10/2/2020,340,rainbowtrout,219,120.6,sperm,NO,NO,NO,NA,900_226000493309,NA,NA,NA
10/2/2020,340,rainbowtrout,260,213.5,NO,NO,NO,NO,NA,900_226001047379,NA,NA,NA
10/2/2020,350,masusalmon,145,38.6,NO,NO,NO,NO,NA,900_226001110094,NA,NA,NA
10/2/2020,350,masusalmon,122,21.4,NO,NO,NO,NO,NA,900_226001110099,NA,NA,NA
10/2/2020,350,masusalmon,87,7.5,NO,NO,NO,NO,doubletag,900_226001108682,NA,NA,NA
10/2/2020,350,rainbowtrout,137,31.5,NO,NO,NO,NO,NA,900_226001111006,NA,NA,NA
10/2/2020,350,masusalmon,116,18.8,sperm,NO,NO,NO,NA,900_226001108621,NA,NA,NA
10/2/2020,360,masusalmon,106,14,NO,NO,NO,NO,NA,900_226001108673,NA,NA,NA
