Date,Section,ID,Spp,recap,recapinsurvey,FL,BM,maturation,tagloss,injury,handlingmortality,notes,PITNumber,PITNumber2,life_stage,occasion,smolting,removed
10/2/2020,90,NA,sculpin,NO,NO,55,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,62,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,64,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,62,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,92,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,73,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,80,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,114,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,115,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,88,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,87,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,90,NA,sculpin,NO,NO,82,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,100,22,masusalmon,NO,NO,98,10.3,NO,NO,NO,NO,NA,900_226001110243,NA,NA,1,NA,NA
10/2/2020,100,23,masusalmon,NO,NO,99,10.5,NO,NO,NO,NO,NA,900_226001110215,NA,NA,1,NA,NA
10/2/2020,100,24,masusalmon,NO,NO,79,5.6,NO,NO,NO,NO,NA,900_226001110286,NA,NA,1,NA,NA
